"check.*portfolio.*risk","Bhai, portfolio ka margin {margin}% aur gamma {gamma} high hai. {loss_risk}% loss ka risk. Hedge ya cut kar le! ⚠️ Do your own research!","margin,gamma,loss_risk","serious"
"what.*option","Option ek contract hai, bhai, jo stock ya index kharidne/bechne ka right deta hai. Call = buy, Put = sell. IV {iv}% pe check kar! 😜 Do your own research!","iv","witty"
"what.*strangle","Strangle straddle jaisa hai, bhai, par alag strike pe call aur put. Cheaper, par bada move chahiye. IV {iv}% pe soch! 😎 Do your own research!","iv","witty"
"what.*iron.*fly","Iron fly hedged hai, bhai. Short call + put ek strike pe, wings ke liye long call + put. IV {iv}% pe premium accha hai! 😜 Do your own research!","iv","witty"
"explain.*margin","Margin tera trading ka fuel hai, bhai. Abhi {margin}% used hai, zyada ho toh call aa sakta hai. Position size kam kar! 😬 Do your own research!","margin","serious"
"why.*loss.*today","Bhai, aaj loss ka reason {reason} ho sakta hai. IV {iv}% spike ya gamma {gamma} trap. Journal likh, seekh le! 😬 Do your own research!","reason,iv,gamma","serious"
"check.*trade.*pattern","Bhai, last {trade_count} trades mein {bias} pattern {bias_count} baar dikha. IV {iv}% pe journal likh, sambhal le! 😬 Do your own research!","trade_count,bias,bias_count,iv","serious"
"suggest.*strategy.*volatile","Bhai, IV {iv}% high hai, VIX {vix}% pe. Straddle ya strangle try kar, par gamma {gamma} pe dhyan de! 😎 Do your own research!","iv,vix,gamma","witty"
"what.*backtest.*reliability","Backtest reliable hai agar win rate {backtest_win_rate:.2f}% aur Sharpe {backtest_sharpe:.2f} solid ho. IV {iv}% pe real-time check kar! 😜 Do your own research!","backtest_win_rate,backtest_sharpe,iv","witty"
"why.*strategy.*confidence.*low","Bhai, {strategy_name} ka confidence {strategy_confidence:.2f} low hai coz {strategy_reason}. IV {iv}% pe backtest aur journal dekh! 😬 Do your own research!","strategy_name,strategy_confidence,strategy_reason,iv","serious"
"check.*journal.*lessons","Bhai, last journal mein tu {journal_reason} likha, lesson: {journal_lesson}. Score {discipline_score}/10. Abhi likh le! 📝 Do your own research!","journal_reason,journal_lesson,discipline_score","witty"
"what.*community.*hedge","Bhai, {community_hedge}% traders hedging kar rahe hain. IV {iv}% aur VIX {vix}% pe market nervous hai. Hedge soch le! 😬 Do your own research!","community_hedge,iv,vix","serious"
"why.*portfolio.*risky","Portfolio risky hai, bhai, coz exposure {exposure}% aur loss risk {loss_risk}% high hai. Margin {margin}% pe hedge kar! ⚠️ Do your own research!","exposure,loss_risk,margin","serious"
"what.*premium.*decay","Premium decay theta ka khel hai, bhai. Abhi theta {theta}, DTE {dte} days. Short term plays ke liye careful reh! 😎 Do your own research!","theta,dte","witty"
"suggest.*strategy.*beginner","Bhai, beginner ho to IV {iv}% pe covered call ya cash-secured put try kar. Low risk, par Greeks seekh le! 😜 Do your own research!","iv","witty"
"check.*market.*sentiment","Bhai, market sentiment {sentiment}% bullish hai. X pe {buzz_topic} ka buzz. IV {iv}% pe strategy align kar! 😎 Do your own research!","sentiment,buzz_topic,iv","witty"
"what.*trade.*frequency","Trade frequency {trade_frequency} trades/day hai, bhai. {trade_frequency} > 5 ho toh overtrading ka risk. Journal likh! 😬 Do your own research!","trade_frequency","serious"
"why.*trade.*journal","Journal discipline banata hai, bhai. Last {trade_count} trades mein {bias} dikha. Abhi likh, nahi to FOMO mein fas jayega! 😬 Do your own research!","trade_count,bias","serious"
"check.*strategy.*breakeven","Bhai, {strategy_name} ka breakeven {breakeven} pe hai. IV {iv}% aur DTE {dte} days pe dhyan de! 😎 Do your own research!","strategy_name,breakeven,iv,dte","witty"
"what.*risk.*reward","Risk-reward tera trade ka balance hai, bhai. Abhi {risk_reward:.2f}:1 hai. 2+ ho toh solid, warna soch le! 😜 Do your own research!","risk_reward","witty"
"why.*market.*choppy","Market choppy hai, bhai, coz IV {iv}% aur VIX {vix}% high hain. Range-bound strategies like iron condor try kar! 😎 Do your own research!","iv,vix","witty"
"check.*portfolio.*margin","Bhai, portfolio ka margin {margin}% used hai. {margin}% > 80 ho toh call ka risk. Position cut ya hedge kar! ⚠️ Do your own research!","margin","serious"
"suggest.*strategy.*high.*iv","IV {iv}% high hai, bhai. Straddle ya strangle bech, premium accha milega. Gamma {gamma} pe dhyan de! 😎 Do your own research!","iv,gamma","witty"
"what.*trade.*slippage","Slippage woh loss hai jo execution mein hota hai, bhai. Backtest mein {slippage}% adjust kiya. IV {iv}% pe careful khel! 😜 Do your own research!","slippage,iv","witty"
"check.*journal.*bias","Bhai, journal ke hisaab se {bias} bias last {trade_count} trades mein {bias_count} baar dikha. IV {iv}% pe sambhal ke! 😬 Do your own research!","bias,trade_count,bias_count,iv","serious"
"what.*backtest.*drawdown","Max drawdown {max_drawdown}% hai, bhai, matlab itna loss ho sakta tha. Strategy {strategy} pe IV {iv}% check kar! ⚠️ Do your own research!","max_drawdown,strategy,iv","serious"
"suggest.*strategy.*low.*vol","IV {iv}% low hai, bhai. Calendar spread ya covered call try kar, premium thoda kam hoga par safe hai! 😎 Do your own research!","iv","witty"
"check.*strategy.*confidence","Bhai, {strategy_name} ka confidence {strategy_confidence:.2f} hai coz {strategy_reason}. IV {iv}% pe backtest dekh! 😜 Do your own research!","strategy_name,strategy_confidence,strategy_reason,iv","witty"
"what.*trade.*cost","Trade cost mein brokerage aur slippage shamil hai, bhai. Last {trade_count} trades ka cost {trade_cost:,.2f}. IV {iv}% pe optimize kar! 😎 Do your own research!","trade_count,trade_cost,iv","witty"
"why.*strategy.*failed","Bhai, {strategy_name} fail hua coz {reason}. IV {iv}% spike ya gamma {gamma} trap ho sakta hai. Journal likh! 😬 Do your own research!","strategy_name,reason,iv,gamma","serious"
"check.*market.*news","Bhai, latest news: {news_headline}. {impact}% chance market pe asar ka. IV {iv}% pe strategy adjust kar! 😬 Do your own research!","news_headline,impact,iv","serious"
"what.*trade.*pattern","Last {trade_count} trades mein {bias} pattern {bias_count} baar dikha, bhai. IV {iv}% pe journal likh, control kar! 😬 Do your own research!","trade_count,bias,bias_count,iv","serious"
"suggest.*strategy.*range","Market range-bound hai, bhai, IV {iv}% pe. Iron condor ya butterfly spread try kar, margin {margin}% ke andar! 😎 Do your own research!","iv,margin","witty"
"check.*portfolio.*exposure","Bhai, exposure {exposure}% hai, margin {margin}% used. {exposure}% > 80 ho toh risk high, hedge kar le! ⚠️ Do your own research!","exposure,margin","serious"
"what.*trade.*leverage","Leverage tera margin ka khel hai, bhai. Abhi {margin}% used, zyada leverage = zyada risk. IV {iv}% pe careful! 😬 Do your own research!","margin,iv","serious"
"why.*trade.*profitable","Bhai, trade profitable tha coz {reason}. IV {iv}% stable tha aur delta {delta} aligned. Journal mein likh! 😎 Do your own research!","reason,iv,delta","witty"
"check.*strategy.*risk","Bhai, {strategy_name} ka max loss ₹{Max_Loss:,.0f}, risk flags: {Risk_Flags}. IV {iv}% pe hedge ya adjust kar! ⚠️ Do your own research!","strategy_name,Max_Loss,Risk_Flags,iv","serious"
"what.*trade.*execution","Execution tera trade ka timing hai, bhai. Slippage {slippage}% aur cost {trade_cost:,.2f} last {trade_count} trades mein. IV {iv}% pe optimize! 😎 Do your own research!","slippage,trade_cost,trade_count,iv","witty"
"suggest.*strategy.*bullish","Market {sentiment}% bullish hai, bhai. IV {iv}% pe bull call spread ya long call try kar. Margin {margin}% check kar! 😎 Do your own research!","sentiment,iv,margin","witty"
"check.*journal.*score","Bhai, tera discipline score {discipline_score}/10 hai, coz {journal_reason}. 7+ ke liye lessons likh aur review kar! 📝 Do your own research!","discipline_score,journal_reason","witty"
"what.*trade.*bias.*fomo","FOMO bias tab hota hai jab tu bheed ke sath trade karta hai, bhai. Last {trade_count} trades mein {bias_count} baar dikha. IV {iv}% pe journal likh! 😬 Do your own research!","trade_count,bias_count,iv","serious"
"why.*market.*sentiment","Market sentiment {sentiment}% bullish hai, bhai, coz FII/DII flows aur news: {news_headline}. IV {iv}% pe strategy bana! 😎 Do your own research!","sentiment,news_headline,iv","witty"
"check.*strategy.*sharpe","Bhai, {strategy_name} ka Sharpe ratio {backtest_sharpe:.2f} hai. 1+ ho toh solid, warna IV {iv}% pe backtest kar! 😜 Do your own research!","strategy_name,backtest_sharpe,iv","witty"
"what.*trade.*cost.*impact","Trade cost tera profit kam karta hai, bhai. Last {trade_count} trades ka cost {trade_cost:,.2f}. IV {iv}% pe low-cost plays kar! 😎 Do your own research!","trade_count,trade_cost,iv","witty"
"suggest.*strategy.*bearish","Bhai, market {sentiment}% bearish hai. IV {iv}% pe bear put spread ya long put try kar. Margin {margin}% pe dhyan de! 😬 Do your own research!","sentiment,iv,margin","witty"
"check.*portfolio.*leverage","Bhai, portfolio ka leverage margin {margin}% pe hai. {margin}% > 80 ho toh risk high, position cut kar! ⚠️ Do your own research!","margin","serious"
"what.*trade.*slippage.*impact","Slippage tera execution ka loss hai, bhai. Last {trade_count} trades mein {slippage}% impact. IV {iv}% pe timing improve kar! 😎 Do your own research!","trade_count,slippage,iv","witty"
"why.*strategy.*recommended","Bhai, {strategy_name} recommended coz {strategy_reason}. Confidence {strategy_confidence:.2f}, IV {iv}% pe backtest solid hai! 😎 Do your own research!","strategy_name,strategy_reason,strategy_confidence,iv","witty"
"check.*market.*volatility","Bhai, market volatility IV {iv}% aur VIX {vix}% pe hai. {vix_status} vibe hai, strategy adjust kar! 😬 Do your own research!","iv,vix,vix_status","serious"
"what.*trade.*pattern.*chasing","Chasing pattern tab hota hai jab tu loss ke peeche trade karta hai, bhai. Last {trade_count} trades mein {bias_count} baar dikha. Journal likh! 😬 Do your own research!","trade_count,bias_count","serious"
"suggest.*strategy.*neutral","Bhai, market neutral hai, IV {iv}% pe. Iron condor ya calendar spread try kar, margin {margin}% ke andar khel! 😎 Do your own research!","iv,margin","witty"
"check.*strategy.*max.*loss","Bhai, {strategy_name} ka max loss ₹{Max_Loss:,.0f} hai. IV {iv}% aur exposure {exposure}% pe risk manage kar! ⚠️ Do your own research!","strategy_name,Max_Loss,iv,exposure","serious"
"what.*trade.*bias.*overconfidence","Overconfidence bias tab hota hai jab tu zyada sure hota hai, bhai. Last {trade_count} trades mein {bias_count} baar dikha. IV {iv}% pe journal likh! 😬 Do your own research!","trade_count,bias_count,iv","serious"
"why.*trade.*cost.*high","Bhai, trade cost {trade_cost:,.2f} high hai coz slippage {slippage}% aur brokerage. IV {iv}% pe low-cost plays kar! 😎 Do your own research!","trade_cost,slippage,iv","witty"
"check.*portfolio.*pnl.*weekly","Bhai, weekly PnL ₹{weekly_pnl:,.2f} hai, exposure {exposure:.2f}%. Margin {margin}% aur risk {loss_risk}% pe dhyan de! 😎 Do your own research!","weekly_pnl,exposure,margin,loss_risk","witty"
"suggest.*strategy.*high.*risk","Bhai, high risk ke liye IV {iv}% pe straddle ya naked options try kar, par margin {margin}% tight hai. Backtest kar! 😬 Do your own research!","iv,margin","witty"
"check.*journal.*reason","Bhai, last journal mein {journal_reason} likha tha. Score {discipline_score}/10 hai. Abhi likh le, improve kar! 📝 Do your own research!","journal_reason,discipline_score","witty"
"what.*trade.*bias.*revenge","Revenge bias tab hota hai jab tu loss ka badla leta hai, bhai. Last {trade_count} trades mein {bias_count} baar dikha. Journal likh! 😬 Do your own research!","trade_count,bias_count","serious"
"why.*market.*news.*impact","Bhai, news {news_headline} ka {impact}% chance hai market pe asar ka. IV {iv}% spike kiya. Strategy adjust kar! 😬 Do your own research!","news_headline,impact,iv","serious"
"check.*strategy.*win.*rate","Bhai, {strategy_name} ka win rate {backtest_win_rate:.2f}% hai. IV {iv}% pe backtest aur journal dekh! 😎 Do your own research!","strategy_name,backtest_win_rate,iv","witty"
"what.*trade.*cost.*brokerage","Brokerage tera trade ka fixed cost hai, bhai. Last {trade_count} trades ka cost {trade_cost:,.2f}. IV {iv}% pe optimize kar! 😎 Do your own research!","trade_count,trade_cost,iv","witty"
"suggest.*strategy.*low.*risk.*beginner","Bhai, beginner ho to IV {iv}% pe covered call ya cash-secured put try kar. Margin {margin}% ke andar khel! 😜 Do your own research!","iv,margin","witty"
"check.*portfolio.*risk.*weekly","Bhai, weekly risk {loss_risk}% hai, exposure {exposure}% aur margin {margin}% used. Hedge ya cut kar le! ⚠️ Do your own research!","loss_risk,exposure,margin","serious"
"what.*trade.*pattern.*overtrading","Overtrading tab hota hai jab tu {trade_frequency} trades/day karta hai, bhai. Last {trade_count} trades mein pattern dikha. Journal likh! 😬 Do your own research!","trade_frequency,trade_count","serious"
"why.*strategy.*backtest.*low","Bhai, {strategy_name} ka backtest win rate {backtest_win_rate:.2f}% low hai coz {reason}. IV {iv}% pe new strategy try kar! 😬 Do your own research!","strategy_name,backtest_win_rate,reason,iv","serious"
"check.*market.*fii.*dii","Bhai, FII ne {fii_flow} crore becha, DII ne {dii_flow} crore kharida. IV {iv}% pe market ka mood tense hai! 😬 Do your own research!","fii_flow,dii_flow,iv","serious"
"suggest.*strategy.*volatile.*market","Bhai, IV {iv}% aur VIX {vix}% high hai. Straddle ya strangle bech, premium accha hai. Gamma {gamma} pe dhyan de! 😎 Do your own research!","iv,vix,gamma","witty"
"check.*portfolio.*sharpe","Bhai, portfolio ka Sharpe ratio {portfolio_sharpe:.2f} hai. 1+ ho toh solid, warna IV {iv}% pe strategy adjust kar! 😎 Do your own research!","portfolio_sharpe,iv","witty"
"what.*trade.*bias.*confirmation","Confirmation bias tab hota hai jab tu apni belief ko force karta hai, bhai. Last {trade_count} trades mein {bias_count} baar dikha. Journal likh! 😬 Do your own research!","trade_count,bias_count","serious"
"why.*trade.*slippage.*high","Bhai, slippage {slippage}% high hai coz market volatile hai, IV {iv}% pe. Execution timing improve kar ya limit orders use kar! 😎 Do your own research!","slippage,iv","witty"
"check.*strategy.*reason","Bhai, {strategy_name} recommended coz {strategy_reason}. Confidence {strategy_confidence:.2f}, IV {iv}% pe solid hai! 😎 Do your own research!","strategy_name,strategy_reason,strategy_confidence,iv","witty"
"suggest.*strategy.*high.*confidence","Bhai, high confidence ke liye {strategy_name} try kar, confidence {strategy_confidence:.2f}. IV {iv}% aur margin {margin}% pe check kar! 😎 Do your own research!","strategy_name,strategy_confidence,iv,margin","witty"
"check.*portfolio.*pnl.*weekly.*update","Bhai, weekly PnL ₹{weekly_pnl:,.2f} hai, exposure {exposure:.2f}%. Margin {margin}% aur risk {loss_risk}% pe dhyan de! 😎 Do your own research!","weekly_pnl,exposure,margin,loss_risk","witty"
"what.*trade.*pattern.*fomo.*market","FOMO pattern tab hota hai jab tu bheed ke sath trade karta hai, bhai. Last {trade_count} trades mein {bias_count} baar dikha. IV {iv}% pe journal likh! 😬 Do your own research!","trade_count,bias_count,iv","serious"
"why.*portfolio.*exposure.*high.*risk","Bhai, exposure {exposure}% high hai coz heavy positions hain. Margin {margin}% tight hai, hedge ya cut kar le! ⚠️ Do your own research!","exposure,margin","serious"
"check.*strategy.*sharpe.*weekly","Bhai, {strategy_name} ka weekly Sharpe ratio {backtest_sharpe:.2f} hai. IV {iv}% pe backtest dekh, 1+ ho toh solid! 😎 Do your own research!","strategy_name,backtest_sharpe,iv","witty"
"what.*trade.*cost.*slippage.*impact","Slippage aur brokerage tera trade cost banate hain, bhai. Last {trade_count} trades ka cost {trade_cost:,.2f}, slippage {slippage}%. IV {iv}% pe optimize! 😎 Do your own research!","trade_count,trade_cost,slippage,iv","witty"
"suggest.*strategy.*low.*risk.*volatile.*market","Bhai, IV {iv}% high hai, low risk ke liye iron condor ya butterfly spread try kar. Margin {margin}% ke andar khel! 😎 Do your own research!","iv,margin","witty"
"check.*portfolio.*risk.*daily.*update","Bhai, daily risk {loss_risk}% hai, exposure {exposure}% aur margin {margin}% used. Hedge ya position cut kar le! ⚠️ Do your own research!","loss_risk,exposure,margin","serious"
"what.*trade.*pattern.*revenge.*market","Revenge trading tab hota hai jab tu loss ka badla leta hai, bhai. Last {trade_count} trades mein {bias_count} baar dikha. Journal likh! 😬 Do your own research!","trade_count,bias_count","serious"
"why.*strategy.*backtest.*failed.*recent","Bhai, {strategy_name} ka recent backtest fail hua coz {reason}. Win rate {backtest_win_rate:.2f}% low hai, IV {iv}% pe new strategy try kar! 😬 Do your own research!","strategy_name,reason,backtest_win_rate,iv","serious"
"check.*market.*fii.*dii.*flows","Bhai, FII ne {fii_flow} crore becha, DII ne {dii_flow} crore kharida. IV {iv}% pe market ka mood check kar! 😬 Do your own research!","fii_flow,dii_flow,iv","serious"
